ProviderID,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020
Provider933,SiteA - Room8,SiteA - Room,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,,,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,,,,Other,SiteA - EveShift2 12p,SiteA - Room,
Provider933,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider354,SiteA - Room9,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,SiteA - Room,SiteA - Room,SiteA - EveShift1 3p,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - EveShift1 3p,,SiteA Staff - 1st Shift Weekend 7a-7p,,SiteA - Room,SiteA - Room,SiteA - Room,
Provider354,,,,,,,,,,,,,,,,,,SiteA - Backup2,,,,,,,,,,,,,
Provider109,,,SiteA - Trainee2,,,,,,,,,,,,,SiteA - Trainee2,,SiteA - Trainee2,,,,SiteA - Trainee2,,,,,,,,,
Provider859,Administrative,Administrative,WG - Clin,SiteA - EveShift1 3p,,,WG - Proc,WG - Proc,Administrative,WG - Clin,No Call,,,WG - Proc,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,Personal,Administrative,,,WG - Proc,Administrative,Administrative,,SiteA - Support,SiteB - General OnCall,SiteB - General OnCall,WG - Proc,Administrative,Administrative,WG - Clin
Provider859,,,,,,,,WG - Clin,,,Administrative,,,,,,,,,,,,,,SiteB - General OnCall,,,,,,
Provider257,,,SiteC - Center,SiteC - Center,,,SiteC - Center,,,SiteC - Center,SiteC - Center,,,SiteC - Center,,,SiteC - Center,SiteC - Center,,,SiteC - Center,,,SiteC - Center,,,,SiteC - Center,SiteA - Room,,SiteC - Center
Provider257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Backup1,,
Provider579,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Room,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,SiteA - Room,SiteA - Specialty2 Day,SiteA - Room,,,,,SiteA - Room,SiteA - Room,SiteA - Specialty2 Day,SiteA - Specialty2 Day
Provider500,SiteC - Center,SiteC - Center,SiteC - Center,SiteC - Center,,,,SiteC - Center,SiteC - Center,SiteC - Center,SiteC - Center,,,,SiteC - Center,SiteC - Center,SiteC - Center,SiteC - Center,,,,SiteC - Center,SiteC - Center,SiteC - Center,,,,SiteC - Center,SiteC - Center,SiteC - Center,SiteC - Center
Provider206,SiteA - Specialty1 OnCall,SiteA - HoldArea,SiteA - EveShift1 3p,SiteA - Room,,SiteA - NightOnCall,SiteA - HoldArea,SiteA - HoldArea,SiteA - Room,SiteA - Room,SiteA - Room,,SiteA - NightOnCall,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,Other,SiteA - Room,SiteA - Room,Holiday,Holiday,,,Professional  Time,Professional  Time,Professional  Time,Vacation
Provider206,SiteA - HoldArea,,,,,,SiteA - Specialty1 OnCall,,SiteA - Backup1,,SiteA - Backup1,,,,SiteA - Backup1,,,SiteA - HoldArea,,,,SiteA - Backup1,,,,,,,,,
Provider522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
